Model,Dataset,Hybrid_Name,Budget_Strategy,Dropout_Strategy,Constraint_Type,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Performance_Gap,Performance_Retention,Relative_Performance_Gap,Budget_Utilization,Early_Stopping,Completed_Rounds
CNN,AbnormalHeartbeat,VeryAggressive_Standard,VeryAggressive,Standard,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.009181,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Aggressive,VeryAggressive,Aggressive,max_epochs,1000,0.600000,0.600000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Aggressive,VeryAggressive,Aggressive,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Aggressive,VeryAggressive,Aggressive,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Aggressive,VeryAggressive,Aggressive,max_time_hours,10,0.600000,0.600000,0.000000,1.000000,0.000000,0.044631,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Aggressive,VeryAggressive,Aggressive,max_time_hours,24,0.600000,0.600000,0.000000,1.000000,0.000000,0.018596,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Aggressive,VeryAggressive,Aggressive,max_time_hours,72,0.600000,0.600000,0.000000,1.000000,0.000000,0.006199,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Gradual,VeryAggressive,Gradual,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Gradual,VeryAggressive,Gradual,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Gradual,VeryAggressive,Gradual,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_Gradual,VeryAggressive,Gradual,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.098820,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Gradual,VeryAggressive,Gradual,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.041175,False,3
CNN,AbnormalHeartbeat,VeryAggressive_Gradual,VeryAggressive,Gradual,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.013725,False,3
CNN,AbnormalHeartbeat,VeryAggressive_TwoStage,VeryAggressive,TwoStage,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_TwoStage,VeryAggressive,TwoStage,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_TwoStage,VeryAggressive,TwoStage,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,VeryAggressive_TwoStage,VeryAggressive,TwoStage,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.066102,False,3
CNN,AbnormalHeartbeat,VeryAggressive_TwoStage,VeryAggressive,TwoStage,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.027542,False,3
CNN,AbnormalHeartbeat,VeryAggressive_TwoStage,VeryAggressive,TwoStage,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.009181,False,3
CNN,AbnormalHeartbeat,Standard_Linear,Standard,Linear,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Standard_Linear,Standard,Linear,max_epochs,2000,0.800000,0.800000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Standard_Linear,Standard,Linear,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,5
CNN,AbnormalHeartbeat,Standard_Linear,Standard,Linear,max_time_hours,10,0.200000,0.200000,0.000000,1.000000,0.000000,0.040232,False,6
