activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
relu,0.3506901473167,3,0.0003137483554,222,2,average,1,BeetleFly,0.7,0.525,0.475,0.425,0.45,0.45,0.45,0.475,0.525,0.525,0.525,0.525,0.525,0.55,0.55,0.55,0.55,0.55,0.55,0.55
elu,0.4238502341187,3,0.0001345280342,244,5,max,1,BeetleFly,0.575,0.55,0.55,0.55,0.65,0.6,0.575,0.575,0.575,0.575,0.575,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.575
relu,0.1168330696196,7,0.0010488707495,173,5,max,1,BeetleFly,0.625,0.575,0.525,0.525,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.5,0.5,0.5,0.475,0.475,0.475,0.475,0.5,0.475
elu,0.4604736078126,6,0.0001308354078,153,3,average,2,BeetleFly,0.475,0.525,0.575,0.55,0.6,0.625,0.625,0.575,0.55,0.55,0.525,0.525,0.525,0.525,0.575,0.6,0.6,0.625,0.65,0.65
tanh,0.1667196303954,5,0.0001314916431,76,3,average,1,BeetleFly,0.4,0.4,0.4,0.4,0.4,0.425,0.525,0.525,0.525,0.6,0.6,0.625,0.6,0.6,0.575,0.575,0.525,0.525,0.525,0.525
gelu,0.2155908775802,3,0.008326361104,71,4,max,1,BeetleFly,0.525,0.525,0.4,0.4,0.475,0.525,0.625,0.625,0.625,0.625,0.675,0.675,0.7,0.675,0.675,0.675,0.65,0.65,0.625,0.65
relu,0.3177585807588,4,0.0001111297309,166,5,max,1,BeetleFly,0.475,0.45,0.45,0.35,0.35,0.425,0.525,0.5,0.575,0.6,0.575,0.525,0.55,0.525,0.55,0.55,0.55,0.55,0.55,0.55
elu,0.0747233994694,4,0.0045285089367,64,3,average,2,BeetleFly,0.525,0.55,0.45,0.475,0.55,0.55,0.525,0.5,0.5,0.525,0.5,0.5,0.475,0.475,0.475,0.475,0.475,0.475,0.45,0.475
sigmoid,0.2937422396752,3,0.0013487527048,248,3,average,1,BeetleFly,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.6,0.575,0.575,0.575,0.575,0.575,0.575,0.55,0.5,0.525,0.6
tanh,0.1970645228029,6,0.0001301178328,222,4,average,2,BeetleFly,0.5,0.55,0.525,0.525,0.475,0.525,0.5,0.425,0.425,0.475,0.475,0.475,0.475,0.5,0.5,0.5,0.5,0.5,0.5,0.525
relu,0.077814094414,5,0.0015633703063,118,5,max,2,BeetleFly,0.375,0.375,0.375,0.375,0.375,0.375,0.45,0.475,0.55,0.525,0.55,0.625,0.65,0.65,0.65,0.625,0.625,0.6,0.6,0.6
tanh,0.3879250027814,4,0.0003758341193,93,3,average,1,BeetleFly,0.475,0.425,0.45,0.575,0.575,0.6,0.6,0.6,0.575,0.625,0.6,0.625,0.6,0.6,0.6,0.6,0.6,0.6,0.575,0.6
gelu,0.1089844650306,6,0.000216213952,160,5,max,2,BeetleFly,0.475,0.475,0.525,0.525,0.575,0.5,0.475,0.475,0.475,0.475,0.5,0.5,0.475,0.525,0.575,0.525,0.525,0.55,0.525,0.525
