Model,Dataset,Schedule,Constraint_Key,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Budget_Utilization,Early_Stopping
CNN,BinaryHeartbeat,VeryAggressive,max_time_hours_72,72,0.4000,0.4000,0.0053,False
CNN,BinaryHeartbeat,Standard,max_epochs_1000,1000,0.6000,0.8000,1.0000,True
CNN,BinaryHeartbeat,Standard,max_epochs_2000,2000,1.0000,0.8000,1.0000,True
CNN,BinaryHeartbeat,Standard,max_epochs_5000,5000,0.8000,0.8000,0.6840,False
CNN,BinaryHeartbeat,Standard,max_time_hours_10,10,0.8000,0.8000,0.0178,False
CNN,BinaryHeartbeat,Standard,max_time_hours_24,24,0.8000,0.8000,0.0074,False
CNN,BinaryHeartbeat,Standard,max_time_hours_72,72,0.8000,0.8000,0.0025,False
CNN,BirdChicken,Moderate,max_epochs_1000,1000,1.0000,0.4000,1.0000,True
CNN,BirdChicken,Moderate,max_epochs_2000,2000,0.6000,0.4000,1.0000,True
CNN,BirdChicken,Moderate,max_epochs_5000,5000,0.4000,0.4000,0.7200,False
CNN,BirdChicken,Moderate,max_time_hours_10,10,0.4000,0.4000,0.0015,False
CNN,BirdChicken,Moderate,max_time_hours_24,24,0.4000,0.4000,0.0006,False
CNN,BirdChicken,Moderate,max_time_hours_72,72,0.4000,0.4000,0.0002,False
CNN,BirdChicken,Aggressive,max_epochs_1000,1000,0.6000,0.6000,1.0000,True
CNN,BirdChicken,Aggressive,max_epochs_2000,2000,0.6000,0.6000,1.0000,True
CNN,BirdChicken,Aggressive,max_epochs_5000,5000,0.6000,0.6000,0.6200,False
CNN,BirdChicken,Aggressive,max_time_hours_10,10,0.6000,0.6000,0.0013,False
CNN,BirdChicken,Aggressive,max_time_hours_24,24,0.6000,0.6000,0.0006,False
CNN,BirdChicken,Aggressive,max_time_hours_72,72,0.6000,0.6000,0.0002,False
CNN,BirdChicken,Conservative,max_epochs_1000,1000,0.8000,0.2000,1.0000,True
CNN,BirdChicken,Conservative,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,BirdChicken,Conservative,max_epochs_5000,5000,1.0000,0.2000,1.0000,True
CNN,BirdChicken,Conservative,max_time_hours_10,10,0.2000,0.2000,0.0053,False
CNN,BirdChicken,Conservative,max_time_hours_24,24,0.2000,0.2000,0.0022,False
CNN,BirdChicken,Conservative,max_time_hours_72,72,0.2000,0.2000,0.0007,False
CNN,BirdChicken,VeryAggressive,max_epochs_1000,1000,0.2000,0.2000,1.0000,True
CNN,BirdChicken,VeryAggressive,max_epochs_2000,2000,0.2000,0.2000,1.0000,True
CNN,BirdChicken,VeryAggressive,max_epochs_5000,5000,0.8000,0.2000,1.0000,True
CNN,BirdChicken,VeryAggressive,max_time_hours_10,10,0.2000,0.2000,0.0026,False
CNN,BirdChicken,VeryAggressive,max_time_hours_24,24,0.2000,0.2000,0.0011,False
CNN,BirdChicken,VeryAggressive,max_time_hours_72,72,0.2000,0.2000,0.0004,False
CNN,BirdChicken,Standard,max_epochs_1000,1000,1.0000,0.4000,1.0000,True
CNN,BirdChicken,Standard,max_epochs_2000,2000,1.0000,0.4000,1.0000,True
CNN,BirdChicken,Standard,max_epochs_5000,5000,0.4000,0.4000,0.6840,False
CNN,BirdChicken,Standard,max_time_hours_10,10,0.4000,0.4000,0.0013,False
CNN,BirdChicken,Standard,max_time_hours_24,24,0.4000,0.4000,0.0006,False
CNN,BirdChicken,Standard,max_time_hours_72,72,0.4000,0.4000,0.0002,False
CNN,CBF,Moderate,max_epochs_1000,1000,1.0000,1.0000,1.0000,True
CNN,CBF,Moderate,max_epochs_2000,2000,0.8000,1.0000,1.0000,True
CNN,CBF,Moderate,max_epochs_5000,5000,1.0000,1.0000,0.7200,False
CNN,CBF,Moderate,max_time_hours_10,10,1.0000,1.0000,0.0225,False
CNN,CBF,Moderate,max_time_hours_24,24,1.0000,1.0000,0.0094,False
CNN,CBF,Moderate,max_time_hours_72,72,1.0000,1.0000,0.0031,False
CNN,CBF,Aggressive,max_epochs_1000,1000,0.4000,1.0000,1.0000,True
CNN,CBF,Aggressive,max_epochs_2000,2000,0.0000,1.0000,1.0000,True
CNN,CBF,Aggressive,max_epochs_5000,5000,1.0000,1.0000,0.6200,False
CNN,CBF,Aggressive,max_time_hours_10,10,1.0000,1.0000,0.0208,False
CNN,CBF,Aggressive,max_time_hours_24,24,1.0000,1.0000,0.0087,False
CNN,CBF,Aggressive,max_time_hours_72,72,1.0000,1.0000,0.0029,False
CNN,CBF,Conservative,max_epochs_1000,1000,1.0000,0.0000,1.0000,True
CNN,CBF,Conservative,max_epochs_2000,2000,1.0000,0.0000,1.0000,True
CNN,CBF,Conservative,max_epochs_5000,5000,1.0000,0.0000,1.0000,True
CNN,CBF,Conservative,max_time_hours_10,10,0.0000,0.0000,0.0807,False
CNN,CBF,Conservative,max_time_hours_24,24,0.0000,0.0000,0.0336,False
CNN,CBF,Conservative,max_time_hours_72,72,0.0000,0.0000,0.0112,False
CNN,CBF,VeryAggressive,max_epochs_1000,1000,0.0000,0.2000,1.0000,True
CNN,CBF,VeryAggressive,max_epochs_2000,2000,0.0000,0.2000,1.0000,True
CNN,CBF,VeryAggressive,max_epochs_5000,5000,0.2000,0.2000,1.0000,True
CNN,CBF,VeryAggressive,max_time_hours_10,10,0.2000,0.2000,0.0412,False
CNN,CBF,VeryAggressive,max_time_hours_24,24,0.2000,0.2000,0.0172,False
CNN,CBF,VeryAggressive,max_time_hours_72,72,0.2000,0.2000,0.0057,False
CNN,CBF,Standard,max_epochs_1000,1000,1.0000,1.0000,1.0000,True
CNN,CBF,Standard,max_epochs_2000,2000,0.6000,1.0000,1.0000,True
CNN,CBF,Standard,max_epochs_5000,5000,1.0000,1.0000,0.6840,False
CNN,CBF,Standard,max_time_hours_10,10,1.0000,1.0000,0.0189,False
CNN,CBF,Standard,max_time_hours_24,24,1.0000,1.0000,0.0079,False
CNN,CBF,Standard,max_time_hours_72,72,1.0000,1.0000,0.0026,False
CNN,Car,Moderate,max_epochs_1000,1000,1.0000,0.8000,1.0000,True
CNN,Car,Moderate,max_epochs_2000,2000,0.2000,0.8000,1.0000,True
CNN,Car,Moderate,max_epochs_5000,5000,0.8000,0.8000,0.7200,False
CNN,Car,Moderate,max_time_hours_10,10,0.8000,0.8000,0.0032,False
CNN,Car,Moderate,max_time_hours_24,24,0.8000,0.8000,0.0013,False
CNN,Car,Moderate,max_time_hours_72,72,0.8000,0.8000,0.0004,False
CNN,Car,Aggressive,max_epochs_1000,1000,0.0000,0.4000,1.0000,True
CNN,Car,Aggressive,max_epochs_2000,2000,0.0000,0.4000,1.0000,True
CNN,Car,Aggressive,max_epochs_5000,5000,0.4000,0.4000,0.6200,False
CNN,Car,Aggressive,max_time_hours_10,10,0.4000,0.4000,0.0029,False
CNN,Car,Aggressive,max_time_hours_24,24,0.4000,0.4000,0.0012,False
CNN,Car,Aggressive,max_time_hours_72,72,0.4000,0.4000,0.0004,False
CNN,Car,Conservative,max_epochs_1000,1000,1.0000,0.4000,1.0000,True
CNN,Car,Conservative,max_epochs_2000,2000,1.0000,0.4000,1.0000,True
CNN,Car,Conservative,max_epochs_5000,5000,1.0000,0.4000,1.0000,True
CNN,Car,Conservative,max_time_hours_10,10,0.4000,0.4000,0.0113,False
CNN,Car,Conservative,max_time_hours_24,24,0.4000,0.4000,0.0047,False
CNN,Car,Conservative,max_time_hours_72,72,0.4000,0.4000,0.0016,False
CNN,Car,VeryAggressive,max_epochs_1000,1000,0.0000,0.6000,1.0000,True
CNN,Car,VeryAggressive,max_epochs_2000,2000,0.0000,0.6000,1.0000,True
CNN,Car,VeryAggressive,max_epochs_5000,5000,0.2000,0.6000,1.0000,True
CNN,Car,VeryAggressive,max_time_hours_10,10,0.6000,0.6000,0.0057,False
CNN,Car,VeryAggressive,max_time_hours_24,24,0.6000,0.6000,0.0024,False
CNN,Car,VeryAggressive,max_time_hours_72,72,0.6000,0.6000,0.0008,False
CNN,Car,Standard,max_epochs_1000,1000,0.0000,0.8000,1.0000,True
CNN,Car,Standard,max_epochs_2000,2000,0.6000,0.8000,1.0000,True
CNN,Car,Standard,max_epochs_5000,5000,0.8000,0.8000,0.6840,False
CNN,Car,Standard,max_time_hours_10,10,0.8000,0.8000,0.0027,False
CNN,Car,Standard,max_time_hours_24,24,0.8000,0.8000,0.0011,False
CNN,Car,Standard,max_time_hours_72,72,0.8000,0.8000,0.0004,False
CNN,CatsDogs,Moderate,max_epochs_1000,1000,1.0000,0.2000,1.0000,True
CNN,CatsDogs,Moderate,max_epochs_2000,2000,0.4000,0.2000,1.0000,True
CNN,CatsDogs,Moderate,max_epochs_5000,5000,0.2000,0.2000,0.7200,False
CNN,CatsDogs,Moderate,max_time_hours_10,10,0.2000,0.2000,0.0171,False
CNN,CatsDogs,Moderate,max_time_hours_24,24,0.2000,0.2000,0.0071,False
CNN,CatsDogs,Moderate,max_time_hours_72,72,0.2000,0.2000,0.0024,False
CNN,CatsDogs,Aggressive,max_epochs_1000,1000,0.4000,0.2000,1.0000,True
CNN,CatsDogs,Aggressive,max_epochs_2000,2000,0.6000,0.2000,1.0000,True
CNN,CatsDogs,Aggressive,max_epochs_5000,5000,0.2000,0.2000,0.6200,False
CNN,CatsDogs,Aggressive,max_time_hours_10,10,0.2000,0.2000,0.0157,False
CNN,CatsDogs,Aggressive,max_time_hours_24,24,0.2000,0.2000,0.0065,False
CNN,CatsDogs,Aggressive,max_time_hours_72,72,0.2000,0.2000,0.0022,False
CNN,CatsDogs,Conservative,max_epochs_1000,1000,0.6000,0.2000,1.0000,True
CNN,CatsDogs,Conservative,max_epochs_2000,2000,1.0000,0.2000,1.0000,True
CNN,CatsDogs,Conservative,max_epochs_5000,5000,1.0000,0.2000,1.0000,True
CNN,CatsDogs,Conservative,max_time_hours_10,10,0.2000,0.2000,0.0599,False
CNN,CatsDogs,Conservative,max_time_hours_24,24,0.2000,0.2000,0.0250,False
CNN,CatsDogs,Conservative,max_time_hours_72,72,0.2000,0.2000,0.0083,False
CNN,CatsDogs,VeryAggressive,max_epochs_1000,1000,0.4000,0.2000,1.0000,True
CNN,CatsDogs,VeryAggressive,max_epochs_2000,2000,0.2000,0.2000,1.0000,True
CNN,CatsDogs,VeryAggressive,max_epochs_5000,5000,0.4000,0.2000,1.0000,True
CNN,CatsDogs,VeryAggressive,max_time_hours_10,10,0.2000,0.2000,0.0308,False
CNN,CatsDogs,VeryAggressive,max_time_hours_24,24,0.2000,0.2000,0.0128,False
CNN,CatsDogs,VeryAggressive,max_time_hours_72,72,0.2000,0.2000,0.0043,False
CNN,CatsDogs,Standard,max_epochs_1000,1000,0.6000,0.8000,1.0000,True
CNN,CatsDogs,Standard,max_epochs_2000,2000,0.6000,0.8000,1.0000,True
CNN,CatsDogs,Standard,max_epochs_5000,5000,0.8000,0.8000,0.6840,False
CNN,CatsDogs,Standard,max_time_hours_10,10,0.8000,0.8000,0.0143,False
CNN,CatsDogs,Standard,max_time_hours_24,24,0.8000,0.8000,0.0060,False
CNN,CatsDogs,Standard,max_time_hours_72,72,0.8000,0.8000,0.0020,False
CNN,ChlorineConcentration,Moderate,max_epochs_1000,1000,0.4000,0.6000,1.0000,True
CNN,ChlorineConcentration,Moderate,max_epochs_2000,2000,0.6000,0.6000,1.0000,True
CNN,ChlorineConcentration,Moderate,max_epochs_5000,5000,0.6000,0.6000,0.7200,False
CNN,ChlorineConcentration,Moderate,max_time_hours_10,10,0.6000,0.6000,0.0357,False
CNN,ChlorineConcentration,Moderate,max_time_hours_24,24,0.6000,0.6000,0.0149,False
CNN,ChlorineConcentration,Moderate,max_time_hours_72,72,0.6000,0.6000,0.0050,False
