Model,Dataset,Schedule,Total_Epochs,Total_Time_Hours,Total_Time_Days,Computational_Savings_%,Rounds_Completed
FCNN,EigenWorms,Standard,3420,0.18,0.01,65.80,7
FCNN,FaultDetectionB,Moderate,3600,0.05,0.00,64.00,4
FCNN,FaultDetectionB,Aggressive,3100,0.04,0.00,69.00,3
FCNN,FaultDetectionB,Conservative,12500,0.18,0.01,-25.00,5
FCNN,FaultDetectionB,VeryAggressive,5600,0.08,0.00,44.00,3
FCNN,FaultDetectionB,Standard,3420,0.05,0.00,65.80,7
FCNN,FiftyWords,Moderate,3600,0.13,0.01,64.00,4
FCNN,FiftyWords,Aggressive,3100,0.11,0.00,69.00,3
FCNN,FiftyWords,Conservative,12500,0.50,0.02,-25.00,5
FCNN,FiftyWords,VeryAggressive,5600,0.21,0.01,44.00,3
FCNN,FiftyWords,Standard,3420,0.13,0.01,65.80,7
FCNN,HouseTwenty,Moderate,3600,0.07,0.00,64.00,4
FCNN,HouseTwenty,Aggressive,3100,0.06,0.00,69.00,3
FCNN,HouseTwenty,Conservative,12500,0.25,0.01,-25.00,5
FCNN,HouseTwenty,VeryAggressive,5600,0.11,0.00,44.00,3
FCNN,HouseTwenty,Standard,3420,0.07,0.00,65.80,7
FCNN,KeplerLightCurves,Moderate,3600,0.20,0.01,64.00,4
FCNN,KeplerLightCurves,Aggressive,3100,0.16,0.01,69.00,3
FCNN,KeplerLightCurves,Conservative,12500,0.73,0.03,-25.00,5
FCNN,KeplerLightCurves,VeryAggressive,5600,0.29,0.01,44.00,3
FCNN,KeplerLightCurves,Standard,3420,0.18,0.01,65.80,7
FCNN,RightWhaleCalls,Moderate,3600,1.45,0.06,64.00,4
FCNN,RightWhaleCalls,Aggressive,3100,1.21,0.05,69.00,3
FCNN,RightWhaleCalls,Conservative,12500,5.32,0.22,-25.00,5
FCNN,RightWhaleCalls,VeryAggressive,5600,2.17,0.09,44.00,3
FCNN,RightWhaleCalls,Standard,3420,1.46,0.06,65.80,7
FCNN,classification_ozone,Moderate,3600,0.08,0.00,64.00,4
FCNN,classification_ozone,Aggressive,3100,0.07,0.00,69.00,3
FCNN,classification_ozone,Conservative,12500,0.29,0.01,-25.00,5
FCNN,classification_ozone,VeryAggressive,5600,0.13,0.01,44.00,3
FCNN,classification_ozone,Standard,3420,0.08,0.00,65.80,7
GRU,AbnormalHeartbeat,Moderate,3600,0.45,0.02,64.00,4
GRU,AbnormalHeartbeat,Aggressive,3100,0.39,0.02,69.00,3
GRU,AbnormalHeartbeat,Conservative,12500,1.59,0.07,-25.00,5
GRU,AbnormalHeartbeat,VeryAggressive,5600,0.70,0.03,44.00,3
GRU,AbnormalHeartbeat,Standard,3420,0.42,0.02,65.80,7
GRU,Adiac,Moderate,3600,0.15,0.01,64.00,4
GRU,Adiac,Aggressive,3100,0.12,0.01,69.00,3
GRU,Adiac,Conservative,12500,0.51,0.02,-25.00,5
GRU,Adiac,VeryAggressive,5600,0.22,0.01,44.00,3
GRU,Adiac,Standard,3420,0.14,0.01,65.80,7
GRU,ArrowHead,Moderate,3600,0.04,0.00,64.00,4
GRU,ArrowHead,Aggressive,3100,0.04,0.00,69.00,3
GRU,ArrowHead,Conservative,12500,0.14,0.01,-25.00,5
GRU,ArrowHead,VeryAggressive,5600,0.06,0.00,44.00,3
GRU,ArrowHead,Standard,3420,0.04,0.00,65.80,7
GRU,Beef,Moderate,3600,0.34,0.01,64.00,4
GRU,Beef,Aggressive,3100,0.29,0.01,69.00,3
GRU,Beef,Conservative,12500,0.67,0.03,-25.00,5
GRU,Beef,VeryAggressive,5600,0.23,0.01,44.00,3
GRU,Beef,Standard,3420,0.38,0.02,65.80,7
GRU,BeetleFly,Moderate,3600,0.02,0.00,64.00,4
GRU,BeetleFly,Aggressive,3100,0.01,0.00,69.00,3
GRU,BeetleFly,Conservative,12500,0.06,0.00,-25.00,5
GRU,BeetleFly,VeryAggressive,5600,0.03,0.00,44.00,3
GRU,BeetleFly,Standard,3420,0.02,0.00,65.80,7
GRU,BinaryHeartbeat,Moderate,3600,0.45,0.02,64.00,4
GRU,BinaryHeartbeat,Aggressive,3100,0.39,0.02,69.00,3
GRU,BinaryHeartbeat,Conservative,12500,1.60,0.07,-25.00,5
GRU,BinaryHeartbeat,VeryAggressive,5600,0.70,0.03,44.00,3
GRU,BinaryHeartbeat,Standard,3420,0.42,0.02,65.80,7
GRU,BirdChicken,Moderate,3600,0.02,0.00,64.00,4
GRU,BirdChicken,Aggressive,3100,0.01,0.00,69.00,3
GRU,BirdChicken,Conservative,12500,0.06,0.00,-25.00,5
GRU,BirdChicken,VeryAggressive,5600,0.03,0.00,44.00,3
GRU,BirdChicken,Standard,3420,0.02,0.00,65.80,7
GRU,CBF,Moderate,3600,0.17,0.01,64.00,4
GRU,CBF,Aggressive,3100,0.14,0.01,69.00,3
GRU,CBF,Conservative,12500,0.58,0.02,-25.00,5
GRU,CBF,VeryAggressive,5600,0.25,0.01,44.00,3
GRU,CBF,Standard,3420,0.16,0.01,65.80,7
GRU,Car,Moderate,3600,0.03,0.00,64.00,4
GRU,Car,Aggressive,3100,0.03,0.00,69.00,3
GRU,Car,Conservative,12500,0.11,0.00,-25.00,5
GRU,Car,VeryAggressive,5600,0.05,0.00,44.00,3
GRU,Car,Standard,3420,0.03,0.00,65.80,7
