Model,Dataset,Regressor,R2 ± std,RMSE ± std,MAE ± std
GRU,Car,RandomForest,0.65 ± 0.16,0.021 ± 0.004,0.017 ± 0.003
GRU,Car,XGBoost,0.55 ± 0.22,0.024 ± 0.004,0.019 ± 0.003
GRU,CatsDogs,LinearRegression,-0.09 ± 0.13,0.029 ± 0.002,0.025 ± 0.002
GRU,CatsDogs,RandomForest,0.14 ± 0.21,0.025 ± 0.003,0.021 ± 0.003
GRU,CatsDogs,XGBoost,-0.04 ± 0.33,0.028 ± 0.004,0.022 ± 0.003
GRU,ChlorineConcentration,LinearRegression,0.24 ± 0.15,0.042 ± 0.007,0.032 ± 0.005
GRU,ChlorineConcentration,RandomForest,0.48 ± 0.22,0.034 ± 0.005,0.021 ± 0.004
GRU,ChlorineConcentration,XGBoost,0.37 ± 0.23,0.037 ± 0.007,0.022 ± 0.005
GRU,CinCECGTorso,LinearRegression,0.37 ± 0.16,0.047 ± 0.006,0.040 ± 0.005
GRU,CinCECGTorso,RandomForest,0.48 ± 0.17,0.043 ± 0.006,0.034 ± 0.005
GRU,CinCECGTorso,XGBoost,0.32 ± 0.21,0.048 ± 0.007,0.038 ± 0.006
GRU,CounterMovementJump,LinearRegression,0.13 ± 0.68,0.061 ± 0.020,0.037 ± 0.009
GRU,CounterMovementJump,RandomForest,0.40 ± 0.38,0.054 ± 0.022,0.023 ± 0.011
GRU,CounterMovementJump,XGBoost,0.38 ± 0.45,0.057 ± 0.028,0.025 ± 0.013
GRU,DucksAndGeese,LinearRegression,-0.04 ± 0.14,0.026 ± 0.003,0.022 ± 0.002
GRU,DucksAndGeese,RandomForest,0.11 ± 0.23,0.024 ± 0.003,0.020 ± 0.003
GRU,DucksAndGeese,XGBoost,-0.08 ± 0.31,0.026 ± 0.004,0.021 ± 0.003
GRU,EigenWorms,LinearRegression,0.64 ± 0.15,0.093 ± 0.015,0.076 ± 0.010
GRU,EigenWorms,RandomForest,0.78 ± 0.07,0.073 ± 0.013,0.058 ± 0.010
GRU,EigenWorms,XGBoost,0.75 ± 0.10,0.077 ± 0.014,0.060 ± 0.011
GRU,FaultDetectionB,LinearRegression,0.46 ± 0.18,0.056 ± 0.010,0.043 ± 0.007
GRU,FaultDetectionB,RandomForest,0.69 ± 0.18,0.041 ± 0.007,0.028 ± 0.004
GRU,FaultDetectionB,XGBoost,0.61 ± 0.20,0.046 ± 0.008,0.030 ± 0.005
GRU,FiftyWords,LinearRegression,0.66 ± 0.18,0.061 ± 0.015,0.047 ± 0.009
GRU,FiftyWords,RandomForest,0.73 ± 0.12,0.056 ± 0.015,0.042 ± 0.009
GRU,FiftyWords,XGBoost,0.70 ± 0.15,0.057 ± 0.015,0.044 ± 0.009
GRU,HouseTwenty,LinearRegression,0.28 ± 0.13,0.025 ± 0.003,0.020 ± 0.002
GRU,HouseTwenty,RandomForest,0.54 ± 0.17,0.020 ± 0.003,0.015 ± 0.003
GRU,HouseTwenty,XGBoost,0.47 ± 0.17,0.021 ± 0.003,0.017 ± 0.002
GRU,KeplerLightCurves,LinearRegression,-0.94 ± 1.35,0.009 ± 0.006,0.005 ± 0.001
GRU,KeplerLightCurves,RandomForest,-0.82 ± 1.11,0.009 ± 0.006,0.004 ± 0.001
GRU,KeplerLightCurves,XGBoost,-10.85 ± 25.32,0.013 ± 0.008,0.005 ± 0.002
GRU,RightWhaleCalls,LinearRegression,0.05 ± 0.60,0.013 ± 0.003,0.010 ± 0.002
GRU,RightWhaleCalls,RandomForest,0.06 ± 0.60,0.013 ± 0.003,0.009 ± 0.002
GRU,RightWhaleCalls,XGBoost,-0.14 ± 0.66,0.014 ± 0.003,0.009 ± 0.002
GRU,classification_ozone,LinearRegression,0.20 ± 0.18,0.017 ± 0.002,0.013 ± 0.002
GRU,classification_ozone,RandomForest,0.35 ± 0.25,0.015 ± 0.002,0.012 ± 0.001
GRU,classification_ozone,XGBoost,0.24 ± 0.24,0.016 ± 0.002,0.013 ± 0.002
LSTM,AbnormalHeartbeat,LinearRegression,-63.66 ± 274.65,0.004 ± 0.002,0.003 ± 0.001
LSTM,AbnormalHeartbeat,RandomForest,-245.53 ± 1055.51,0.005 ± 0.001,0.003 ± 0.001
LSTM,AbnormalHeartbeat,XGBoost,-540.98 ± 2326.44,0.006 ± 0.001,0.003 ± 0.001
LSTM,Adiac,LinearRegression,0.34 ± 0.15,0.022 ± 0.003,0.017 ± 0.002
LSTM,Adiac,RandomForest,0.45 ± 0.23,0.019 ± 0.002,0.016 ± 0.002
LSTM,Adiac,XGBoost,0.22 ± 0.32,0.023 ± 0.002,0.018 ± 0.003
LSTM,ArrowHead,LinearRegression,0.26 ± 0.27,0.070 ± 0.011,0.056 ± 0.009
LSTM,ArrowHead,RandomForest,0.25 ± 0.52,0.067 ± 0.010,0.052 ± 0.010
LSTM,ArrowHead,XGBoost,0.08 ± 0.54,0.075 ± 0.011,0.057 ± 0.011
LSTM,Beef,LinearRegression,0.55 ± 0.20,0.025 ± 0.004,0.020 ± 0.003
LSTM,Beef,RandomForest,0.67 ± 0.11,0.021 ± 0.003,0.016 ± 0.002
LSTM,Beef,XGBoost,0.61 ± 0.13,0.023 ± 0.004,0.017 ± 0.003
LSTM,BeetleFly,LinearRegression,0.15 ± 0.27,0.031 ± 0.007,0.026 ± 0.005
LSTM,BeetleFly,RandomForest,-0.04 ± 0.60,0.034 ± 0.009,0.026 ± 0.006
LSTM,BeetleFly,XGBoost,-0.55 ± 1.16,0.040 ± 0.009,0.030 ± 0.006
LSTM,BinaryHeartbeat,LinearRegression,-44.57 ± 139.15,0.003 ± 0.002,0.002 ± 0.001
LSTM,BinaryHeartbeat,RandomForest,-107.71 ± 253.01,0.004 ± 0.001,0.002 ± 0.001
LSTM,BinaryHeartbeat,XGBoost,-86.99 ± 210.62,0.004 ± 0.002,0.002 ± 0.001
LSTM,BirdChicken,LinearRegression,0.27 ± 0.17,0.064 ± 0.008,0.051 ± 0.007
LSTM,BirdChicken,RandomForest,0.49 ± 0.21,0.053 ± 0.013,0.041 ± 0.008
LSTM,BirdChicken,XGBoost,0.25 ± 0.35,0.063 ± 0.017,0.048 ± 0.012
LSTM,CBF,LinearRegression,0.08 ± 0.43,0.054 ± 0.017,0.038 ± 0.010
LSTM,CBF,RandomForest,0.22 ± 1.25,0.039 ± 0.014,0.024 ± 0.009
LSTM,CBF,XGBoost,-0.37 ± 2.09,0.049 ± 0.018,0.028 ± 0.012
LSTM,Car,LinearRegression,0.14 ± 0.34,0.037 ± 0.005,0.029 ± 0.004
LSTM,Car,RandomForest,-0.09 ± 1.08,0.039 ± 0.007,0.031 ± 0.005
LSTM,Car,XGBoost,-0.26 ± 0.85,0.044 ± 0.009,0.034 ± 0.006
LSTM,CatsDogs,LinearRegression,0.02 ± 0.47,0.011 ± 0.002,0.009 ± 0.002
LSTM,CatsDogs,RandomForest,0.16 ± 0.28,0.011 ± 0.002,0.008 ± 0.002
LSTM,CatsDogs,XGBoost,0.02 ± 0.38,0.011 ± 0.003,0.008 ± 0.002
LSTM,ChlorineConcentration,LinearRegression,-0.18 ± 0.25,0.002 ± 0.000,0.002 ± 0.000
LSTM,ChlorineConcentration,RandomForest,-0.21 ± 0.35,0.002 ± 0.000,0.002 ± 0.000
LSTM,ChlorineConcentration,XGBoost,-0.37 ± 0.40,0.002 ± 0.000,0.002 ± 0.000
LSTM,CinCECGTorso,LinearRegression,0.54 ± 0.12,0.076 ± 0.009,0.061 ± 0.007
LSTM,CinCECGTorso,RandomForest,0.45 ± 0.17,0.082 ± 0.011,0.068 ± 0.011
LSTM,CinCECGTorso,XGBoost,0.32 ± 0.17,0.092 ± 0.013,0.075 ± 0.013
LSTM,CounterMovementJump,LinearRegression,0.30 ± 0.11,0.004 ± 0.001,0.003 ± 0.001
LSTM,CounterMovementJump,RandomForest,0.42 ± 0.22,0.003 ± 0.001,0.002 ± 0.001
LSTM,CounterMovementJump,XGBoost,0.32 ± 0.36,0.003 ± 0.001,0.002 ± 0.001
LSTM,DucksAndGeese,LinearRegression,-0.12 ± 0.22,0.008 ± 0.001,0.006 ± 0.001
LSTM,DucksAndGeese,RandomForest,-0.20 ± 0.51,0.008 ± 0.001,0.006 ± 0.001
LSTM,DucksAndGeese,XGBoost,-0.45 ± 0.71,0.008 ± 0.002,0.007 ± 0.001
LSTM,EigenWorms,LinearRegression,0.63 ± 0.09,0.104 ± 0.012,0.086 ± 0.009
LSTM,EigenWorms,RandomForest,0.71 ± 0.16,0.090 ± 0.019,0.073 ± 0.015
LSTM,EigenWorms,XGBoost,0.58 ± 0.17,0.108 ± 0.020,0.084 ± 0.017
LSTM,FaultDetectionB,LinearRegression,0.67 ± 0.12,0.049 ± 0.009,0.037 ± 0.007
LSTM,FaultDetectionB,RandomForest,0.69 ± 0.14,0.047 ± 0.009,0.038 ± 0.007
