activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
tanh,0.5807337429231,26,1.61248797e-05,4,0.0034546055576,BeetleFly,0.495,0.49,0.5,0.5,0.505,0.5,0.5050000000000001,0.48,0.5,0.5,0.5,0.4949999999999999,0.485,0.5,0.49,0.49,0.49,0.4949999999999999,0.5,0.4949999999999999
relu,0.2728855301415,38,2.2545987e-05,1,0.0004155501236,BeetleFly,0.52,0.54,0.535,0.54,0.5349999999999999,0.525,0.5199999999999999,0.53,0.525,0.53,0.53,0.55,0.55,0.55,0.55,0.55,0.5650000000000001,0.5650000000000001,0.5650000000000001,0.5650000000000001
relu,0.3631688626589,119,0.0005602313925,4,0.0027668403552,BeetleFly,0.495,0.51,0.5349999999999999,0.5,0.505,0.535,0.53,0.53,0.545,0.5700000000000001,0.5650000000000001,0.585,0.6,0.6199999999999999,0.6250000000000001,0.6199999999999999,0.64,0.635,0.6549999999999999,0.67
tanh,0.2606245211513,43,2.26726529e-05,3,0.0033090434147,BeetleFly,0.505,0.5050000000000001,0.5,0.51,0.4949999999999999,0.505,0.52,0.5,0.5199999999999999,0.5,0.49,0.505,0.495,0.5050000000000001,0.51,0.515,0.51,0.515,0.515,0.515
tanh,0.3862313498007,10,4.82632498e-05,1,0.0028908500275,BeetleFly,0.52,0.515,0.53,0.53,0.53,0.53,0.5349999999999999,0.535,0.535,0.5349999999999999,0.535,0.525,0.525,0.53,0.5349999999999999,0.54,0.54,0.535,0.54,0.54
tanh,0.3280502839488,39,1.06304283e-05,3,0.0001235287703,BeetleFly,0.475,0.49,0.48,0.48,0.485,0.495,0.51,0.51,0.495,0.495,0.48,0.475,0.47,0.4699999999999999,0.47,0.4599999999999999,0.45,0.45,0.4449999999999999,0.445
tanh,0.2775053725553,84,1.31877744e-05,3,0.0049811593345,BeetleFly,0.49,0.485,0.5050000000000001,0.4949999999999999,0.49,0.48,0.4800000000000001,0.48,0.49,0.5,0.5,0.51,0.5149999999999999,0.51,0.525,0.52,0.51,0.51,0.505,0.51
gelu,0.1761112050822,75,0.0004102638425,3,0.0064120354933,BeetleFly,0.5199999999999999,0.495,0.505,0.5449999999999999,0.5650000000000001,0.5900000000000001,0.595,0.6,0.6300000000000001,0.6549999999999999,0.665,0.65,0.6849999999999999,0.6849999999999999,0.69,0.725,0.7449999999999999,0.74,0.76,0.76
relu,0.1714694761745,36,1.72324277e-05,4,4.96180182e-05,BeetleFly,0.49,0.4949999999999999,0.5,0.5,0.495,0.51,0.515,0.515,0.515,0.525,0.5349999999999999,0.525,0.51,0.52,0.525,0.52,0.515,0.525,0.525,0.52
relu,0.2256904744589,106,0.0005385544543,2,0.0004359341817,BeetleFly,0.515,0.5700000000000001,0.6100000000000001,0.67,0.695,0.7,0.7499999999999999,0.74,0.755,0.76,0.7649999999999999,0.76,0.775,0.7699999999999999,0.78,0.775,0.78,0.775,0.775,0.77
