Model,Dataset,Config_ID,Model_Size_Parameters,Performance_Val_Accuracy_Avg,Num_Seeds_Averaged,Is_Pareto_Optimal
CNN,Beef,34,80300,0.7967,5,No
CNN,Beef,33,4163,0.4467,5,No
CNN,Beef,11,131941,0.7967,5,No
CNN,Beef,29,112837,0.4433,5,No
CNN,Beef,16,130247,0.6500,5,No
CNN,Beef,20,32590,0.3833,5,No
CNN,Beef,18,24909,0.5033,5,No
CNN,Beef,27,304015,0.6800,5,No
CNN,Beef,73,206465,0.7833,5,No
CNN,Beef,87,153222,0.6300,5,No
CNN,Beef,80,335467,0.7400,5,No
CNN,Beef,74,193805,0.7800,5,No
CNN,Beef,42,90865,0.8133,5,No
CNN,Beef,89,3349,0.7333,5,No
CNN,Beef,45,125032,0.6867,5,No
CNN,Beef,19,231089,0.8500,5,No
CNN,Beef,26,244235,0.6067,5,No
CNN,Beef,21,5318,0.4867,5,No
CNN,Beef,28,30893,0.6267,5,No
CNN,Beef,17,5021,0.7633,5,No
CNN,Beef,10,3757,0.6833,5,No
CNN,Beef,44,21254,0.5667,5,No
CNN,Beef,43,163043,0.8300,5,No
CNN,Beef,88,190734,0.5000,5,No
CNN,Beef,75,268095,0.6633,5,No
CNN,Beef,81,249847,0.6867,5,No
CNN,Beef,86,847917,0.7567,5,No
CNN,Beef,72,160688,0.8167,5,No
CNN,BeetleFly,36,79337,0.7800,5,No
CNN,BeetleFly,9,146610,0.7750,5,No
CNN,BeetleFly,31,170717,0.7550,5,No
CNN,BeetleFly,7,4974,0.5200,5,No
CNN,BeetleFly,38,114665,0.7500,5,No
CNN,BeetleFly,54,79247,0.8000,5,No
CNN,BeetleFly,98,32922,0.7500,5,No
CNN,BeetleFly,53,117070,0.7350,5,No
CNN,BeetleFly,91,79851,0.7550,5,No
CNN,BeetleFly,65,27042,0.8100,5,No
CNN,BeetleFly,62,72496,0.8150,5,No
CNN,BeetleFly,96,256994,0.7950,5,No
CNN,BeetleFly,1,81136,0.7600,5,No
CNN,BeetleFly,39,60354,0.8050,5,No
CNN,BeetleFly,6,165998,0.7750,5,No
CNN,BeetleFly,30,123290,0.8150,5,No
CNN,BeetleFly,8,51546,0.7500,5,No
CNN,BeetleFly,37,166172,0.6900,5,No
CNN,BeetleFly,97,67277,0.7650,5,No
CNN,BeetleFly,63,11126,0.6950,5,No
CNN,BeetleFly,64,86022,0.7600,5,No
CNN,BeetleFly,90,125534,0.8250,5,No
CNN,BeetleFly,99,14014,0.7400,5,No
CNN,BeetleFly,52,106504,0.7850,5,No
CNN,BeetleFly,55,82258,0.7650,5,No
CNN,BeetleFly,83,121896,0.8050,5,No
CNN,BeetleFly,77,66952,0.8350,5,No
CNN,BeetleFly,48,54632,0.7750,5,No
CNN,BeetleFly,70,165728,0.7950,5,No
CNN,BeetleFly,84,25612,0.8050,5,No
CNN,BeetleFly,46,259492,0.7850,5,No
CNN,BeetleFly,79,148242,0.7700,5,No
CNN,BeetleFly,41,458502,0.7550,5,No
CNN,BeetleFly,15,3369,0.7900,5,No
CNN,BeetleFly,12,79628,0.7650,5,No
CNN,BeetleFly,24,8034,0.8250,5,No
CNN,BeetleFly,23,37046,0.8150,5,No
CNN,BeetleFly,40,74870,0.7550,5,No
CNN,BeetleFly,47,211260,0.6850,5,No
CNN,BeetleFly,78,31880,0.7600,5,No
CNN,BeetleFly,85,734189,0.8050,5,No
CNN,BeetleFly,71,45590,0.7750,5,No
CNN,BeetleFly,100,31112,0.7500,5,No
CNN,BeetleFly,76,140674,0.7850,5,No
CNN,BeetleFly,82,134414,0.8000,5,No
CNN,BeetleFly,49,115650,0.7600,5,No
CNN,BeetleFly,22,183526,0.7750,5,No
CNN,BeetleFly,25,77222,0.6450,5,No
CNN,BeetleFly,13,51383,0.7550,5,No
CNN,BeetleFly,14,60494,0.8000,5,No
CNN,BeetleFly,50,30206,0.7200,5,No
CNN,BeetleFly,68,3676,0.6300,5,No
CNN,BeetleFly,57,16498,0.8100,5,No
CNN,BeetleFly,61,22233,0.7800,5,No
CNN,BeetleFly,95,568962,0.7550,5,No
CNN,BeetleFly,59,36262,0.7850,5,No
CNN,BeetleFly,92,283600,0.7600,5,No
CNN,BeetleFly,66,70244,0.6150,5,No
CNN,BeetleFly,32,13974,0.7800,5,No
CNN,BeetleFly,35,501270,0.7800,5,No
CNN,BeetleFly,3,36334,0.6150,5,No
CNN,BeetleFly,4,41730,0.8150,5,No
CNN,BeetleFly,58,130950,0.7600,5,No
CNN,BeetleFly,67,112972,0.7800,5,No
CNN,BeetleFly,93,41978,0.7150,5,No
CNN,BeetleFly,94,27974,0.8100,5,No
CNN,BeetleFly,60,137036,0.7700,5,No
CNN,BeetleFly,69,210626,0.7500,5,No
CNN,BeetleFly,56,424430,0.6900,5,No
CNN,BeetleFly,51,386593,0.6050,5,No
CNN,BeetleFly,5,50330,0.7000,5,No
CNN,BeetleFly,2,111350,0.7850,5,No
CNN,BeetleFly,34,47068,0.8200,5,No
