activation,dropout_rate,ff_dim,hidden_units,learning_rate,num_heads,num_layers,pooling,dataset,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
gelu,0.0141586261033,687,362,0.0004796051282,3,3,max,CinCECGTorso,0.15,0.1875,0.225,0.325,0.2375,0.225,0.2625,0.3,0.2375,0.3875,0.25,0.275,0.4125,0.3625,0.4,0.3875,0.4,0.4875,0.35,0.475
relu,0.1730946524547,381,73,0.0003341229776,7,2,mean,CinCECGTorso,0.175,0.3375,0.325,0.2375,0.3125,0.3625,0.3375,0.3125,0.2875,0.3,0.35,0.3875,0.375,0.325,0.3625,0.3625,0.3375,0.375,0.35,0.3875
relu,0.0724125444941,578,411,2.12537197e-05,5,1,mean,CinCECGTorso,0.2125,0.1875,0.35,0.2625,0.3,0.2875,0.275,0.2875,0.275,0.275,0.2625,0.2875,0.35,0.375,0.35,0.325,0.3,0.325,0.325,0.3
relu,0.1228210018207,307,145,6.46545594e-05,8,6,mean,CinCECGTorso,0.2125,0.25,0.3125,0.2625,0.2625,0.275,0.3375,0.3,0.275,0.2625,0.325,0.3625,0.4375,0.3625,0.3125,0.325,0.375,0.3625,0.3125,0.35
gelu,0.2651964300989,457,508,0.0004198776505,6,4,mean,CinCECGTorso,0.3375,0.2875,0.4125,0.3125,0.2,0.2875,0.1625,0.3125,0.3375,0.225,0.2875,0.4,0.275,0.275,0.3375,0.425,0.425,0.375,0.4625,0.45
relu,0.0609877129238,510,510,0.0001219988639,4,6,mean,CinCECGTorso,0.275,0.2875,0.3,0.25,0.3,0.4875,0.275,0.3,0.3125,0.275,0.3625,0.3,0.35,0.4,0.4125,0.3625,0.4375,0.45,0.4375,0.375
gelu,0.1448636024401,331,347,1.84210549e-05,6,5,max,CinCECGTorso,0.2875,0.2875,0.275,0.35,0.275,0.275,0.275,0.2625,0.2625,0.2875,0.2875,0.2875,0.275,0.2875,0.3,0.275,0.2875,0.2875,0.3,0.2875
relu,0.0658205096112,762,425,2.34082976e-05,3,6,mean,CinCECGTorso,0.325,0.325,0.2625,0.1875,0.1875,0.35,0.2875,0.2125,0.225,0.3375,0.2875,0.325,0.3,0.3375,0.3,0.3,0.3375,0.3,0.3125,0.3375
relu,0.0927954665632,704,480,4.09657925e-05,7,5,max,CinCECGTorso,0.2125,0.25,0.2625,0.25,0.3125,0.275,0.2375,0.3125,0.3625,0.3,0.25,0.3,0.425,0.3125,0.2625,0.3125,0.35,0.3125,0.2625,0.275
gelu,0.2774381294866,629,186,0.0001494264167,3,3,mean,CinCECGTorso,0.175,0.3125,0.25,0.2375,0.3125,0.3625,0.2375,0.3,0.3375,0.45,0.4125,0.2875,0.275,0.325,0.3375,0.35,0.4,0.35,0.35,0.4
relu,0.2004413204481,271,80,1.20113305e-05,7,1,max,CinCECGTorso,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.3375,0.3375,0.3375,0.3375,0.3375,0.35,0.325,0.3125,0.3125,0.2875
relu,0.0862571034363,893,192,2.59291837e-05,4,5,max,CinCECGTorso,0.1625,0.2,0.3,0.35,0.3,0.325,0.3125,0.325,0.2875,0.3625,0.3625,0.4125,0.425,0.4125,0.4,0.375,0.3875,0.35,0.3375,0.35
relu,0.2864741038637,380,84,1.12529335e-05,6,2,max,CinCECGTorso,0.3125,0.3125,0.3125,0.3125,0.3125,0.3,0.3125,0.3,0.3,0.3,0.3,0.3,0.3,0.2875,0.275,0.2875,0.2875,0.3,0.3,0.3125
relu,0.0830843675864,969,164,7.97113417e-05,7,5,max,CinCECGTorso,0.275,0.35,0.225,0.225,0.3,0.2625,0.25,0.2625,0.3375,0.2875,0.3,0.2875,0.275,0.275,0.2625,0.275,0.3,0.325,0.3125,0.325
gelu,0.2082503590629,690,87,0.0004247746877,2,4,max,CinCECGTorso,0.275,0.2875,0.2625,0.275,0.2375,0.2875,0.35,0.2875,0.325,0.2875,0.1875,0.2,0.3125,0.225,0.225,0.2375,0.275,0.275,0.2375,0.2375
gelu,0.2143119552932,846,110,1.59485593e-05,2,3,max,CinCECGTorso,0.175,0.1625,0.2125,0.2375,0.25,0.25,0.25,0.2375,0.225,0.175,0.1875,0.2,0.1875,0.2,0.1875,0.175,0.1875,0.1875,0.175,0.1625
gelu,0.1461233295313,275,96,0.0008371103943,5,2,mean,CinCECGTorso,0.25,0.3125,0.2375,0.375,0.3375,0.25,0.35,0.325,0.3375,0.3625,0.4,0.4,0.375,0.45,0.4,0.3875,0.3625,0.45,0.45,0.4125
gelu,0.1799906420434,840,273,1.09356413e-05,6,4,mean,CinCECGTorso,0.3125,0.3375,0.2875,0.25,0.2875,0.2625,0.2875,0.3375,0.3,0.275,0.2875,0.25,0.25,0.275,0.25,0.275,0.2625,0.275,0.275,0.25
