activation,dropout_rate,kernel_size,learning_rate,num_filters,num_layers,pooling,pooling_size,dataset,val_acc_1,val_acc_2,val_acc_3,val_acc_4,val_acc_5,val_acc_6,val_acc_7,val_acc_8,val_acc_9,val_acc_10,val_acc_11,val_acc_12,val_acc_13,val_acc_14,val_acc_15,val_acc_16,val_acc_17,val_acc_18,val_acc_19,val_acc_20
relu,0.0825532364946,9,7.95718188e-05,46,3,average,1,CounterMovementJump,0.2912499999999999,0.7809523820877076,0.92285715341568,0.9492857122421264,0.9590476131439208,0.9616666626930236,0.9621428442001342,0.9597618961334228,0.9588095164299012,0.9597618985176088,0.9602380895614624,0.9619047570228576,0.9602380919456482,0.9628571391105653,0.9597619032859802,0.960238094329834,0.960952377319336,0.9619047570228576,0.9609523797035218,0.9623809528350832
elu,0.1364305055872,4,9.75649208e-05,99,4,max,2,CounterMovementJump,0.348125,0.6459523797035217,0.7666666674613953,0.8002380943298342,0.7988095259666442,0.807380952835083,0.8378571438789366,0.8297619009017942,0.8392857193946839,0.8342857146263123,0.8314285707473756,0.845,0.8507142877578735,0.8416666746139526,0.8509523797035218,0.8683333396911621,0.862380952835083,0.8714285683631896,0.8602380895614623,0.8719047665596008
relu,0.3830998246079,4,0.0006512998604,31,4,average,2,CounterMovementJump,0.31875,0.5259523808956146,0.7697619104385375,0.8509523820877074,0.8878571438789369,0.9114285707473756,0.9350000023841858,0.940714282989502,0.9478571438789366,0.9526190471649172,0.9507142853736876,0.9597619032859802,0.9573809528350832,0.9573809528350832,0.9578571462631226,0.964285717010498,0.964047613143921,0.9583333325386046,0.9549999952316284,0.9638095211982728
gelu,0.082346049256,7,1.16766255e-05,103,1,max,1,CounterMovementJump,0.3256249999999999,0.7699999976158143,0.904523808956146,0.9309523820877076,0.9333333373069764,0.9366666626930236,0.9399999928474424,0.9383333325386048,0.9361904740333558,0.9380952334403992,0.9383333230018616,0.9376190423965454,0.9376190447807312,0.9395238018035889,0.9390476107597352,0.9380952310562132,0.9380952286720275,0.9380952310562136,0.9390476107597352,0.9376190400123596
relu,0.4228074811156,3,0.0001725146283,106,3,average,2,CounterMovementJump,0.3243749999999999,0.4847619068622588,0.6673809492588043,0.788809516429901,0.8300000023841857,0.8654761910438538,0.9078571486473084,0.9164285731315612,0.9169047617912292,0.9330952358245848,0.9445238089561462,0.937857141494751,0.9449999952316284,0.9542857122421264,0.9490476155281068,0.9561904811859132,0.9592857146263124,0.96119047164917,0.9645238089561464,0.9602380967140196
gelu,0.1452287642961,6,1.95140128e-05,118,1,average,1,CounterMovementJump,0.319375,0.7809523820877076,0.9097619104385376,0.9354761910438538,0.936428563594818,0.938571424484253,0.940000002384186,0.9419047641754152,0.9407142853736876,0.9397619009017943,0.94095237493515,0.9395238065719604,0.9423809480667114,0.941428565979004,0.9409523749351502,0.9399999976158142,0.9409523773193358,0.9399999928474424,0.940476186275482,0.9395238018035889
gelu,0.3117759005228,3,1.07360282e-05,65,1,average,1,CounterMovementJump,0.3368749999999999,0.739761905670166,0.8654761958122255,0.8990476155281067,0.9183333325386048,0.9316666626930236,0.9385714292526244,0.9369047665596008,0.9359523844718932,0.9357142877578736,0.9376190471649172,0.9366666650772096,0.9361904740333558,0.9357142949104308,0.9373809504508972,0.9380952382087708,0.938095235824585,0.9371428561210632,0.9371428513526916,0.9378571391105652
tanh,0.0507907379731,4,0.0001319169483,45,2,average,1,CounterMovementJump,0.34125,0.7004761910438537,0.8650000023841858,0.9283333373069762,0.9376190447807312,0.9435714197158812,0.9445238089561462,0.9459523725509644,0.9454761838912964,0.9454761838912964,0.9454761815071104,0.9438095164299012,0.945714280605316,0.945476188659668,0.9457142782211304,0.9495238041877748,0.949523799419403,0.9504761815071106,0.9504761838912964,0.9495238041877746
gelu,0.2696299622996,8,9.18103821e-05,93,2,average,1,CounterMovementJump,0.314375,0.7890476179122924,0.9180952358245849,0.936904754638672,0.945714280605316,0.9471428537368776,0.9488095116615296,0.9509523725509644,0.949285705089569,0.9519047570228576,0.9495238041877746,0.9530952334403991,0.9497618961334228,0.9516666603088378,0.9528571367263794,0.9526190400123596,0.9514285659790038,0.9528571343421935,0.9473809432983398,0.952380940914154
sigmoid,0.2683186648441,2,2.5381949e-05,65,2,max,2,CounterMovementJump,0.330625,0.5564285743236542,0.6414285802841186,0.6819047665596009,0.7269047594070435,0.7530952358245849,0.7664285707473755,0.7895238089561463,0.798571424484253,0.8090476179122925,0.8228571438789368,0.829761905670166,0.830952377319336,0.8438095211982727,0.8533333325386048,0.8654761910438538,0.8695238113403321,0.872857141494751,0.8757142877578735,0.8792857122421264
gelu,0.1082275578444,6,1.1724132e-05,110,3,max,1,CounterMovementJump,0.3375,0.7740476226806641,0.910714282989502,0.9428571414947508,0.955714282989502,0.9600000023841858,0.9602380967140196,0.96,0.9633333301544188,0.9649999976158142,0.9633333325386048,0.9633333325386048,0.9652380895614624,0.965238094329834,0.9642857122421264,0.965238091945648,0.9633333301544188,0.9638095211982728,0.965238091945648,0.9652380895614624
tanh,0.3922721194869,3,2.318735e-05,109,2,max,1,CounterMovementJump,0.31875,0.6614285755157471,0.7759523797035217,0.8633333301544189,0.8804761838912963,0.9040476202964782,0.924047622680664,0.9350000000000002,0.9473809480667116,0.9466666650772094,0.9488095188140868,0.9471428561210632,0.9511904764175416,0.9499999904632568,0.9485714221000672,0.9519047570228578,0.9499999976158142,0.9519047570228576,0.9519047594070434,0.9504761838912964
elu,0.3901817616446,7,0.0008880251297,125,4,average,1,CounterMovementJump,0.32875,0.6383333325386047,0.8230952358245851,0.8526190447807311,0.872380950450897,0.905476188659668,0.919285719394684,0.915238094329834,0.9245238065719604,0.928571434020996,0.930476188659668,0.9383333349227906,0.9378571391105652,0.9359523797035216,0.9428571438789368,0.9371428608894348,0.9319047617912292,0.9440476202964784,0.9416666674613952,0.938095235824585
sigmoid,0.2867604870846,4,0.0009613933907,13,5,average,2,CounterMovementJump,0.32875,0.4485714352130889,0.6314285671710967,0.7047619032859802,0.7383333325386048,0.7778571414947509,0.7845238161087036,0.8266666674613953,0.8395238113403322,0.8380952429771422,0.8721428561210631,0.8773809504508971,0.8921428585052489,0.8916666650772095,0.9102380990982056,0.9057142853736876,0.8947619032859802,0.9159523844718932,0.9138095235824586,0.9247619009017944
sigmoid,0.2551804935356,5,1.00467726e-05,46,4,average,1,CounterMovementJump,0.31375,0.4804761946201324,0.6302380883693696,0.693809530735016,0.721904764175415,0.7557142853736878,0.7788095283508302,0.7942857146263123,0.814761905670166,0.8245238161087036,0.8395238161087036,0.8516666674613951,0.8538095259666443,0.8635714244842528,0.8690476155281066,0.8747619032859802,0.8861904764175413,0.8909523797035217,0.8899999952316284,0.8985714244842529
tanh,0.2131740771181,7,0.0007944442522,16,5,max,2,CounterMovementJump,0.3243749999999999,0.5235714304447174,0.5580952382087707,0.6209523797035217,0.6519047641754151,0.6835714292526245,0.7316666662693024,0.7214285707473754,0.7790476250648498,0.7590476202964782,0.7911904788017272,0.7854761934280395,0.7902380895614625,0.8028571391105652,0.8080952405929566,0.8040476155281068,0.8064285790920257,0.8171428608894349,0.8261904752254488,0.8207142806053161
gelu,0.4936630874042,2,0.0003472522358,36,1,average,1,CounterMovementJump,0.305,0.7726190471649169,0.8828571367263793,0.9219047617912292,0.9202380990982056,0.920238094329834,0.9319047617912292,0.9319047617912292,0.9321428537368774,0.9295238089561462,0.9395238089561464,0.932619047164917,0.9326190423965454,0.9333333349227908,0.9323809528350828,0.930476188659668,0.9264285707473756,0.930476188659668,0.923095235824585,0.9290476131439208
relu,0.424884455009,5,0.0005737385436,68,4,average,2,CounterMovementJump,0.346875,0.5540476191043855,0.8290476202964783,0.9011904788017274,0.916666669845581,0.931666669845581,0.9326190423965456,0.96,0.9509523820877076,0.9623809504508972,0.9580952358245848,0.956904754638672,0.9638095259666444,0.959047610759735,0.9557142782211304,0.9659523797035215,0.9680952429771424,0.9659523773193358,0.97,0.9711904716491698
